tweet_text,tweet_lang,tweet_created_at,match_id
"Germany did the same thing in the 1986 World Cup final, then Argentina scored a third goal. #ARGFRA",es,2022-12-18 16:46:38+00:00,2022-12-01_costarica_germany
"FIFA World Cup 2022, day eight RECAP: Belgium boilover met with shocking riots; Spain manager's moving tribute before draw against Germany; Costa Rica and Morocco spring upset wins; Canada eliminated despite scoring fastest goal – Wide World of Sports https://t.co/ixw1QOnUmS",es,2022-12-06 21:39:49+00:00,2022-12-01_costarica_germany
"@Dannyman2311 My early 2026 World cup predictions,
Champion=Italy 🇮🇹
2nd place=Portugal 🇵🇹
3rd place=Germany 🇩🇪
4th place=South Korea 🇰🇷(Underdog)
Underdogs=South Korea🇰🇷 and Serbia🇷🇸
Best player=Barella🇮🇹
Best keeper=Donnarumma🇮🇹
Top goal scorer=Leao🇵🇹
Best young player=Musiala 🇩🇪",es,2022-12-23 00:48:51+00:00,2022-12-01_costarica_germany
"Lampard’s “goal” for England v Germany at the 2010 World Cup.
Archive Scottish commentary from the 2010 World Cup. England v Germany. @petedonaldson https://t.co/542QN1BLGk",es,2022-12-11 16:22:25+00:00,2022-12-01_costarica_germany
"Portugal are only the second team in the 21st Century to score 6+ goals in a World Cup knockout stage match, after Germany versus Brazil in the 2014 semi-final (7-1).

#POR #SUI #FIFAWorldCup2022 #Qatar2022",es,2022-12-06 20:54:40+00:00,2022-12-01_costarica_germany
"Most magical moments of the 2022 World Cup Finals: 

- The 75 seconds when both Spain and Germany were out

- The 2 France goals in 30 seconds of the final

- Morocco’s Run

- Netherlands making it 2-2 right at the death vs Argentina",es,2022-12-18 19:18:47+00:00,2022-12-01_costarica_germany
"@Thepratik10 After all they are playing final. Yes undoubtedly argentina has not shown quality as they should have and far better squad like Brazil, Germany, Croatia are out of worldcup despite of having good depth. Lets hope they will score one more goals then France. 😁",es,2022-12-18 12:47:09+00:00,2022-12-01_costarica_germany
"@LuisMay23930054 @RoyNemer Germany played their worst game ever in the 2014 World Cup final &amp; beat Argentina by 1 lucky goal.

Argentina were way better &amp; let the World Cup slip out of their hands, they haven’t beaten France in a World Cup for a long time too

The pressure is on the team to fight like hell",es,2022-12-14 21:01:13+00:00,2022-12-01_costarica_germany
"@hibakane exactly, i remember when germany won world cup in 2014, i jumped into a river in the middle of the night right after the Mario Gotze goal.",es,2022-12-06 03:50:41+00:00,2022-12-01_costarica_germany
"Kylian Mbappé has scored two goals in the space of 97 seconds, becoming the first player to score a brace in a World Cup final since Ronaldo for Brazil vs Germany in 2002. Ignition. 

#EIBQatar2022 https://t.co/9WqyCND7zI",es,2022-12-18 16:53:00+00:00,2022-12-01_costarica_germany
"In fact Lampard never officially scored a goal. I was only counting *that* goal vs Germany 😂

Lewandowski only scored his first goals for Poland in a World Cup at this World Cup.

Top players can still have dodgy World Cup records. Rooney isn’t the first &amp; he won’t be the last.",es,2022-12-12 11:05:21+00:00,2022-12-01_costarica_germany
"Most of the players for the world Cup squad of Germany previously came from. Bayern Munchen,koln FC,Dortmund &amp; Hamburg. Can recall a few names like Karl Heinz Rummnigge, Schumacher in goal,Niedermayer,Ditmar, Lothar matthaus &amp; kalz Manfred.",es,2022-12-20 10:11:42+00:00,2022-12-01_costarica_germany
@Chrisobyno01 @marvinth_ @the_smallie Messi's first ever world cup penalty goal came against Saudi meanwhile Ronaldo has been scoring penalties since Germany 2006. Ronaldo's only goal contribution in Qatar was a penalty. Ronaldo won the Euro golden boot by scoring 5 goals of which 3 were penalties.😂😂😂😂😂,es,2022-12-21 09:25:58+00:00,2022-12-01_costarica_germany
