tweet_text,tweet_lang,tweet_created_at,match_id
"@Chvdye_ @Henryobi77 @goal The coach literally fucked Ronaldo over. He could’ve done much more but they decided to bench him experimenting the team at the wrong time, during the World Cup. In the game against Morocco, Ronaldo couldn’t do much since his teammates were playing sloppy and couldn’t pass right",es,2022-12-18 04:46:55+00:00,2022-12-06_morocco_spain
This is the first goal Morocco have conceded in this world cup scored by an opposition player.,es,2022-12-14 19:06:12+00:00,2022-12-06_morocco_spain
"#Morocco 's 1:0 win over Portugal 🇵🇹 still makes it that they have conceded only one  goal in this #WorldCup edition in Qatar.
#MORPOR | #Qatar2022 
Congratulations upon reaching the semi-finals. 👏 https://t.co/Z3CnGv6dbu",es,2022-12-10 17:32:42+00:00,2022-12-06_morocco_spain
@BenDinnery All pass but no goal pushed Spain out of World Cup 🤣🤣🤣,es,2022-12-07 11:02:18+00:00,2022-12-06_morocco_spain
"France ended Morocco's World Cup dream as goals from Theo Hernandez and Randal Kolo Muani gave the holders a 2-0 win in their semi-final clash and set up a showdown on Sunday with Lionel Messi's Argentina. | @Sport24news 

https://t.co/3JViZTcahK",es,2022-12-15 05:15:09+00:00,2022-12-06_morocco_spain
"Kylian Mbappé is finally getting his chance to play alongside Aurélien Tchouaméni with France into the World Cup semifinals and Morocco up next on Wednesday.Tchouaméni’s displays at the heart of the France midfield — and his impressive goal against # #

https://t.co/nAQn8AlSeI",es,2022-12-12 15:27:35+00:00,2022-12-06_morocco_spain
"The defending world champions France defeated Morocco in the semi-final of the 2022 FIFA World Cup through goals from Theo Hernandez and Randal Kolo Muani.

France will face Lionel Messi's Argentina in the 2022 FIFA World Cup Final on 18 December.

🇫🇷 2-0 🇲🇦 | #Qatar2022 https://t.co/V7sqi3nUUz",es,2022-12-14 21:00:12+00:00,2022-12-06_morocco_spain
Goal! Croatia 2-1 Morocco (Orsic): World Cup 2022 third-place playoff – live https://t.co/Yhm4dEPqbx,es,2022-12-17 15:44:03+00:00,2022-12-06_morocco_spain
"@goal I dream of seeing Leo's Argentina in the final against Morocco. I will cross my arms for the first time in a World Cup final without a supporter. Why ?? Because If Morocco wins, what a story for Africa! If Argentina wins, it will end the Goat debate. 
Either way I'll be happy 🙈",es,2022-12-13 17:58:18+00:00,2022-12-06_morocco_spain
World Cup 2022: Watch analysis of Croatia's goals against Morocco https://t.co/e1CFvbOgU0,es,2022-12-18 08:00:13+00:00,2022-12-06_morocco_spain
Morocco have shown good defensive resilience this world cup to only concede one goal this whole tournament is something that i didn't expect of them....well done to them #FIFAWorldCup #MoroccoVsPortugal,es,2022-12-10 18:05:25+00:00,2022-12-06_morocco_spain
"Brilliant goal, so well worked by Croatia, and what a header from Gvardiol 💥

Morocco level almost immediately however, poor defending from Croatia

#Gvardiol #JoškoGvardiol #CROMAR #CroatiaVSMorocco #CRO #MAR #FIFAWorldCup #Qatar2022 #WorldCup #WorldCup2022 #WorldCupQatar2022",es,2022-12-17 15:09:46+00:00,2022-12-06_morocco_spain
"World Crucial Goal pts. Mmaee (Morocco) 
End of World Cup 2022
3 vs Sudan
3 vs Guinea
Total 6",es,2022-12-17 17:36:58+00:00,2022-12-06_morocco_spain
"#Congratulations LIONS of ATLAS 🇲🇦🇲🇦.
🇲🇦🇲🇦🇲🇦 MOROCCO 🇲🇦🇲🇦🇲🇦
MAN of THE MATCH @AchrafHakimi who was born in MADRID 🇪🇸 scored the final goal that knockout #Spain 🇪🇸 from FIFA 2022 🇶🇦 World CUP.
Morocco done BUSINESS for AFRICA!!
Incredible DRAMA!!!!!!!!!!!!
   ===== Amazing ===== https://t.co/7xoXoczBPs",es,2022-12-06 18:01:36+00:00,2022-12-06_morocco_spain
"#France taking this #WorldCup! 

#Morocco is not going to be demolished by France but they're not going to win.

#Croatia can beat #Argentina but they need to create more chances. Their players need to shoot at goal to take advantage of the # of players they have in the box.",es,2022-12-10 21:14:43+00:00,2022-12-06_morocco_spain
"Come on Morocco, one more goal and it's to the quarter finals #WorldCup",es,2022-12-06 17:46:31+00:00,2022-12-06_morocco_spain
"World Cup Matches 1/4 Finals ⚽️⚽️⚽️
BRAZIL v CROATIA 🇧🇷🇭🇷
NETHERLANDS v ARGENTINA🇳🇱🇦🇷
MOROCCO v PORTUGAL 🇲🇦 🇵🇹 
ENGLAND v FRANCE 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇫🇷

Will there be goals  ?🏆 

@course_ni
@puntersg
@QWorldCup22 https://t.co/mxTbyBI4Hv",es,2022-12-09 11:21:12+00:00,2022-12-06_morocco_spain
"💥 France/Morocco under 2.5 goals (1.72) cashes!!, under 1.5 and france not to score in 1st half, take some profits away, but profit was made. #WorldCup #WCPicks https://t.co/lGRS94lG2D",es,2022-12-14 20:57:33+00:00,2022-12-06_morocco_spain
"“Attack wins you games, defence wins you titles.”

-Sir Alex Ferguson

Morocco has conceded only 1 goal in this World Cup and a total of 2 goals in their last 10 matches.",es,2022-12-06 17:57:04+00:00,2022-12-06_morocco_spain
"@themaingee1 @PoojaMedia Just listen to yourself, when Spain won the opening match with big goal margin all this narrative no come. Go and verify Spain has lost 4penalty shootout out of 5 they have played. since they won the world cup since 2010 with the players then what has been their performance",es,2022-12-07 02:39:56+00:00,2022-12-06_morocco_spain
@goal Morocco and Croatia will reach the World Cup final 🏆,es,2022-12-11 16:20:06+00:00,2022-12-06_morocco_spain
@TheDonKofi @iMiaSanMia @ransport Spain lost the most embarrassing of the world cup. 0 penalty goals is a disaster xD,es,2022-12-06 23:24:10+00:00,2022-12-06_morocco_spain
"Least goals conceded to win a World Cup 

France 98 -2 
Italy 06-2
Spain-10- 2",es,2022-12-10 17:26:50+00:00,2022-12-06_morocco_spain
"@goal Immediately Spain couldn't hit the winner, I knew Bono was going to knock them out of the world cup",es,2022-12-09 14:05:26+00:00,2022-12-06_morocco_spain
"Mislav Orsic's sublime goal towards the end of the first half gave Croatia a 2-1 win over Morocco in the third-place playoff at the 2022 FIFA World Cup.

Morocco were without key defenders Romain Saiss, Nayef Aguerd and Noussair Mazraoui https://t.co/FUwe1vsfG5",es,2022-12-18 03:16:27+00:00,2022-12-06_morocco_spain
"Portugal have knocked Switzerland out of the World Cup with an insane 6-1 goal margin.

Santos and his men will face Morocco in the quarter-finals.

#MozzartBetNg #FIFAWorldCup https://t.co/y0gpACTa64",es,2022-12-06 22:00:56+00:00,2022-12-06_morocco_spain
"History made!

#Youssef En-Nesyri's goal makes Morocco the first ever African team to reach a World Cup semifinal!
What a game🌹
#Qatar2022 https://t.co/AYsnYiZvT2",es,2022-12-10 17:28:41+00:00,2022-12-06_morocco_spain
"Congratulations to Morocco!!! First African and Arab country to advance to Final 4! Amazing goal today! HISTORY!

This World Cup has been a nightmare for every Islamophobe, imperialist + colonist 🤣 https://t.co/0u9riESsQ6",es,2022-12-11 01:18:17+00:00,2022-12-06_morocco_spain
"FT I POR 6-1 SWI

Portugal’s Goncalo Ramos scored three goals as his team thrashed Switzerland 6-1 to set up a quarter-final against Morocco in the 2022 Qatar World Cup. https://t.co/Afnefl6NWl",es,2022-12-07 03:26:12+00:00,2022-12-06_morocco_spain
"Kylian Mpabbe is the best player of the tournament,with all his five goals coming in open play and few games. 
Tonight hell move to 7goals after scoring 2 goals Vs Morocco 
And one more World Cup Final. https://t.co/kPECPbpFNx",es,2022-12-14 13:01:36+00:00,2022-12-06_morocco_spain
"Morocco’s defensive structure has been world class this World Cup. Conceded only ONE goal while playing Spain and Portugal, wow.",es,2022-12-10 17:35:38+00:00,2022-12-06_morocco_spain
"#FIFAWorldCup #QatarWorldCup2022 #CROMAR 
#CroatiaVSMorocco #3rdPlace 
#Croatia edge past #Marocco 2-1 to clinch third place. #JoškoGvardiol is player of the match who scored a goal. Other scorer for #Cro is #MislavOršić .
From Morocco only scorer is #AchrafDari. @FIFAWorldCup https://t.co/I64cbkmjsL",es,2022-12-17 22:53:16+00:00,2022-12-06_morocco_spain
"Morocco results this WorldCup : 

🇲🇦 0 - 0 🇪🇸 
Spain couldn’t score in the reg time + extra time or find the 🥅 even once in the shootout

🇲🇦 2 - 1 🇨🇦 
That goal conceded is own goal 

🇲🇦 2 - 0 🇧🇪 

🇲🇦 0 - 0 🇭🇷 
Croatia qualified for QF 

#Morocco #FIFAWorldCup #FIFAWorldCup2022 https://t.co/d3Q9henCvH",es,2022-12-06 18:01:17+00:00,2022-12-06_morocco_spain
Morocco have only conceded 1 goal this World Cup. Incredible,es,2022-12-10 16:49:17+00:00,2022-12-06_morocco_spain
"This legend has 2 reasons for watching today.

Just Fontaine (89) born in Morocco, played for France &amp; also managed both.

In the 1958 World Cup he scored a record 13 goals in one tournament. 👏
Figures of 30 goals in 21 games for France.

#MORPOR #ENGFRA #FIFAWorldCup #MARPOR https://t.co/huP1pmpU82",es,2022-12-10 15:24:43+00:00,2022-12-06_morocco_spain
France enter semifinal with a 2 -0 win over Morocco. Hardluck to Morocco. Had possession but failed to convert into goal. Didier Deschamp will again possibly make history as winner of World Cup as player and three times as coach if France wins again Argentina.,es,2022-12-14 21:02:58+00:00,2022-12-06_morocco_spain
"Players With The Most Goals &amp; Assists In World Cup History.
#Messi #Ronaldo #pele #klose #spain #Portugal #WorldCup2022 #WorldCup #QatarWorldCup2022 https://t.co/eNfzrWPcP5",es,2022-12-06 15:00:03+00:00,2022-12-06_morocco_spain
@iyurmarkk Morocco played had a field day with him in goal in that pen shootout ffs 💀 and he’s been okay this World Cup none of this quality nonsense+ he was horror against Japan,es,2022-12-06 18:07:13+00:00,2022-12-06_morocco_spain
"Youssef En-Nesyri, Hakim Ziyech, Abdelhamid Sabiri and every goal by Morocco | 2022 FIFA World Cup https://t.co/B738DDqKYh",es,2022-12-18 11:17:25+00:00,2022-12-06_morocco_spain
That Morocco goal had very big Greece Euro 2004 Charisteas vibes. They’re winning the World Cup. End of. #MAR #MARPOR #WorldCup,es,2022-12-10 15:56:10+00:00,2022-12-06_morocco_spain
"France Will Beat Morocco And Also Beat Argentina In The Final!! 

EVEN WITHOUT WORLD CUP MESSI IS STILL MY GOAL!!! 

Shoprite Fuji Twitch Saliba Nduka naa brazil Olopa Cross River Zenith Bank Vote Peter Obi Tinubu Hakimi https://t.co/HYv0Zic0ze",es,2022-12-14 19:40:31+00:00,2022-12-06_morocco_spain
"Quick fact, Morocco has not lost any match this far in the #WorldCup and no team has ever achieved this accomplishment. Not only that, they’ve only conceded one goal. And it was Morocco who scored that goal too. So until now, no team has actually scored against them. Incredible!",es,2022-12-14 18:56:30+00:00,2022-12-06_morocco_spain
"Morocco has conceded the least number of goals, so far, in the World Cup.
… And it was an own goal",es,2022-12-06 17:55:27+00:00,2022-12-06_morocco_spain
"No team has scored a goal against Morocco in this world cup, the only goal they conceded was against Canada which was an own goal.
Morocco can also meet Croatia for the second time in the single tournament, first meeting in the 0:0 group stage match.",es,2022-12-10 18:40:13+00:00,2022-12-06_morocco_spain
"Morocco!!!

The first African team to ever make it to the Semi finals of a World Cup!

They did it without conceding a goal from an opponent.

Be wary France/England, be wary.
Morocco is a formidable opponent indeed.",es,2022-12-10 17:00:39+00:00,2022-12-06_morocco_spain
