tweet_text,tweet_lang,tweet_created_at,match_id
"@lanajalaleng @_Crazy2k_ @FIFAWorldCup Argentina goals boring 😂😂😂😂😂😂😂😂😂😂😂 THAT FIRST GOAL WAS A MASTERPIECE OF MESSI, NOBODY CAN EVEN THINK OF THAT PASS, EVEN INCLUDING DE BRUYNE.",es,2022-12-11 07:43:56+00:00,2022-12-09_netherlands_argentina
"What a world cup he is having!
5 goals 
3 assists .
#Messi𓃵 #ArgentinaVsCroatia #WorldcupQatar2022 #Messi𓃵day https://t.co/5XOI8yywAh",es,2022-12-13 21:34:03+00:00,2022-12-09_netherlands_argentina
"GOAL!!! 
Argentina 2-0 France 
Me I am rooting for Argentina 🇦🇷 make them carry the world cup ooo !
#FIFAWorldCup #ArgentinaVsFrance #WorldCup",es,2022-12-18 15:41:10+00:00,2022-12-09_netherlands_argentina
@Edeslouis2S @KampurireJ @piersmorgan You who knows everything i shd remind you that Messi has 5 goals 90% of whom are penalties secondly in history of the World Cup Argentina has been rewarded the most penalties in this World Cup than any other team has ever,es,2022-12-18 12:56:10+00:00,2022-12-09_netherlands_argentina
@h2k04x @siralexwengee @goal It was rigged asl Argentina got a penalty every games except for 2 even fifa called it even before the World Cup it was france v argentina In the final so many news outlets called it to their are pictures and everything,es,2022-12-22 07:25:24+00:00,2022-12-09_netherlands_argentina
"I was all night awake just for Argentina and saw some crazy events: Argentina goes to the finals
Messi gets the title for most goals scored in the World Cup 2022 11 goals. Man Messi is officially the G.O.A.T. write it in every sports newspaper they have https://t.co/01MyhgvaO2",es,2022-12-13 21:14:34+00:00,2022-12-09_netherlands_argentina
"Unreal Scenes, France is back in the game with 02 back to back goals!

#WorldCup #ArgentinaVsFrance #FIFAWorldCupFinal #Qatar2022 #Messi𓃵 #Qatar2022 #QatarWorldCup #FRAARG #ARGFRA #FIFAWorldCupFinal #Mbappe https://t.co/3zTtSghwcw",es,2022-12-18 17:00:43+00:00,2022-12-09_netherlands_argentina
Di Maria getting emotional after his goal #WorldCup #ArgentinaVsFrance #FIFAWorldCup #Dimaria https://t.co/AWgnSWiKrV,es,2022-12-18 15:40:28+00:00,2022-12-09_netherlands_argentina
"LIONEL MESSI!!! WHAT A GOAL IN THE WORLD CUP FINAL!!! 🔥🐐
#ArgentinaVsFrance #FIFAWorldCup #Messi𓃵 https://t.co/04VZlDUO4f",es,2022-12-18 15:28:10+00:00,2022-12-09_netherlands_argentina
"🇦🇷🇫🇷 This is the 4th time France &amp; Argentina will be meeting at the FIFA #WorldCup;

🏆1930🇫🇷0-1🇦🇷-Group Stage
🏆1978🇦🇷2-1🇫🇷-Group Stage
🏆2018🇫🇷4-3🇦🇷-Last 16

🏟️The last time,France &amp; Argentina met at the World Cup.We had 7 goals.
#DStvChachishaMexhi
#ArgentinaVsFrance https://t.co/4u680s10oe",es,2022-12-18 15:59:18+00:00,2022-12-09_netherlands_argentina
"@Barca_Buzz - Messi
- Luis Chávez free Kick goal vs Saudi Arabia
- Argentina v The Netherlands
- Messi lifting the world cup
- Thomas Müller (because of his pedigree at this tournament)
- Germany
- Morocco's run.",es,2022-12-18 20:10:50+00:00,2022-12-09_netherlands_argentina
"Who remembers that Piers Morgan interview.

Piers to Ronaldo: Argentina V Portugal, you score 2, Messi scores 2, 94th minute you score your hattrick and win the World Cup.
Jideoffor was now smiling like say e go score open play goal.",es,2022-12-10 19:48:38+00:00,2022-12-09_netherlands_argentina
"@Dreamvillenaes1 @hatiperi_wacho messi didn't just win the world cup he also won player of the tournament with 5 man of the Match awards, with more assists and 1 goal away from being a top goalscorer. What explanation do you still need. He actually carried Argentina. who played better than Messi?",es,2022-12-19 07:07:11+00:00,2022-12-09_netherlands_argentina
"Fun fact: if we exclude undeserved pens Argentina had this World Cup, Messi only has 2 goals. https://t.co/cJ0HNwkKV2",es,2022-12-19 18:59:10+00:00,2022-12-09_netherlands_argentina
"1 more GOAL for #Argentina 🇦🇷❤

Please...❤⚽🇦🇷

#ArgentinaVsFrance #WorldCup #ARGFRA #FIFAWorldCup #Messi𓃵 #FIFAWorldCupFinal #Qatar2022",es,2022-12-18 17:27:21+00:00,2022-12-09_netherlands_argentina
"In what is now known as the '#FinalfortheAges', #Argentina won its third World Cup title after defeating #France 4-2 in a penalty shoot-out. The win came after a 3-3 draw in which #Messi scored two goals, while #KylianMbappé, the French forward, scored a hat trick.

#Cyberpark https://t.co/TG1q9JdFTf",es,2022-12-19 05:39:38+00:00,2022-12-09_netherlands_argentina
"- Croatia is the 4th team in World Cup history to advance after trailing in extra time and 1st since Sweden in the 1994 Quarterfinals...

- Messi tied Gabriel Batistuta for most World Cup goals for Argentina (10)...

____
#FIFAWorldCup - Tuesday 12/13:

#ARG vs #HRV",es,2022-12-10 05:47:35+00:00,2022-12-09_netherlands_argentina
"#LionelMessi𓃵 became the first player in FIFA World Cup history to win 2 Golden Ball awards. 2014 World Cup Golden Ball winner - Messi - finished 2022 campaign with 7 goals &amp; 3 assists. In the final, Messi scored a brace as Argentina prevailed on penalties post a 3-3 draw. 2/8",es,2022-12-20 07:29:46+00:00,2022-12-09_netherlands_argentina
"#ARGFRA today's the day, world cup final.
Both teams are very good, but Argentina will probably just shade it. What I really do hope for is a great game with lots of goals. Let's see.",es,2022-12-18 06:42:11+00:00,2022-12-09_netherlands_argentina
"Last goal Last chance And Winners
#Argentina_won_worldcup",es,2022-12-18 18:10:37+00:00,2022-12-09_netherlands_argentina
"Netherlands 🇳🇱 vs 🇦🇷 Argentina are set to face off in the quarter finals of the 2022 World Cup.

GOAL! ⚽ #NED 0-1 #ARG 

Argentina vs Netherlands 2nd Quarterfinal at FIFA https://t.co/Orgc7b6epV 

#NED | #ARG | #FIFAWorldCup | #sportsliveto | #NEDARG | #Messi | #LionelMessi https://t.co/PoEVp1iAbG",es,2022-12-09 19:44:05+00:00,2022-12-09_netherlands_argentina
"@TitoGabby1 @Asitemmy1 @CHARGIE___ @goal Fewer goals where...???

FOOTBALL IS WORLD CUP AND CHAMPIONS LEAGUE

champions league...Messi 125 v 140 Ronaldo

World cup ...Messi 9 v 8 Ronaldo (has a game at hand against Netherlands)",es,2022-12-06 09:04:46+00:00,2022-12-09_netherlands_argentina
"@thisisTawona First of all, for of the 5 was worth it, a foul is a foul, and outside the penalties they still scored open play goals.l so it's not like they advanced on penalties

Secondly how many where France awarded last World cup?

Or is only a problem cos its Messi's Argentina",es,2022-12-14 09:15:06+00:00,2022-12-09_netherlands_argentina
