tweet_text,tweet_lang,tweet_created_at,match_id
"All I’m saying is that every team I’ve rooted for in the World Cup has lost, and the moment I changed into Argentina’s colors, France scored their two goals. Sorry y’all. It’s me. I’m the bad luck charm🫢",en,2022-12-18 16:55:48+00:00,2022-12-10_england_france
"5 most memorable goals of the #WorldCup2022 
-
https://t.co/HBi8Jh5euX

#Argentina #France #QatarWorldCup #Qatar #WorldCup #football #FOOTBALLWORLDCUP https://t.co/CnM9fIrQud",en,2022-12-18 13:50:00+00:00,2022-12-10_england_france
"Argentina already scored 2 goals 
And Messi Yet to Unlock his demon 😎🔥 
#ArgentinaVsFrance #WorldCup",en,2022-12-18 15:39:34+00:00,2022-12-10_england_france
Argentina have won the World Cup now. I do not see France coming back in the second half. France have just not turned up tonight. Loved that 2nd Argentina goal especially the break away at pace. I believe both Argentina goalscorers are the oldest players in the Argentina team?!,en,2022-12-18 16:07:13+00:00,2022-12-10_england_france
"France's Randal Kolo Muani scores goal vs. Morocco in 79' | 2022 FIFA World Cup - FOX Sports
https://t.co/UlsP9PdHGq",en,2022-12-15 00:52:02+00:00,2022-12-10_england_france
Morocco hadn’t been cracked all tournament (own goal) and it takes France all of 5 mins to get through the defensive wall. #WorldCup #FRAMAR,en,2022-12-14 19:07:23+00:00,2022-12-10_england_france
"It's Not #ComingHome. It will be #France vs #Morocco.
France win England 2-1. Tchoumeni and Giroud with two beautiful goals. Kane scored a penalty and missed a 2nd one. First time it's happened at the world cup since 1994 for a player scoring and missing a penalty in same match.",en,2022-12-10 21:09:12+00:00,2022-12-10_england_france
"Giroud, Tchouameni goals send France into Qatar World Cup 2022 semi-finals with 2-1 win over England as Harry Kane's late penalty miss crushes English dreams
https://t.co/a4q6K5PR0G",en,2022-12-11 06:00:01+00:00,2022-12-10_england_france
"Can 🐐 Messi create a goal in extra time?
#ArgentinaVsFrance #WorldCup #Messi𓃵",en,2022-12-18 17:09:42+00:00,2022-12-10_england_france
"@Ekitipikin Very true, but considering the fact that some players of France are battling with flu and Messi is playing his last world cup match, I think he will put his all in the game to win the best player of the match so I staked on MESSI TO SCORE A GOAL AT ANYTIME.",en,2022-12-18 11:54:11+00:00,2022-12-10_england_france
"WHAT A GOAL! 🔥

🇫🇷 France take the lead after a stunning strike from distance by Aurelien Tchouameni!

His first World Cup goal!

England 0-1 France
#FIFAWorldCup",en,2022-12-10 19:20:12+00:00,2022-12-10_england_france
