tweet_text,tweet_lang,tweet_created_at,match_id
Congratulations France on winning FIFA World Cup with a Goal in 67th minute. #Mbappe #ArgentinaVsFrance,en,2022-12-18 13:21:36+00:00,2022-12-14_france_morocco
"@Master_P_61703 @Gorba_G8 At this World Cup he is the top goal scorer for France 🇫🇷… “Currently” 

I repeat “Current World Cup”",en,2022-12-15 05:19:05+00:00,2022-12-14_france_morocco
"England vs France what a fucking goal , I enjoyed that #WorldCup #FIFAWorldCup #EnglandVsFrance",en,2022-12-10 19:20:34+00:00,2022-12-14_france_morocco
"Morocco have conceded just ONE goal through 4 World Cup matches and are now headed to their FIRST EVER World Cup quarterfinal 🇲🇦

They drew Croatia and defeated both Belgium and Spain in the process 😮

What an incredible story 👏 https://t.co/NuqdLJgSkx",en,2022-12-07 10:33:48+00:00,2022-12-14_france_morocco
"@ennykay10 @SimmDhillon1 @J22Jordan @TheeLidman @BillSimmons Of all the names, you pulled Van Basten? At 19yo Mbappe was France best player in the World Cup they won. At 23 he’s couple of goals short of surpassing Van Basten career total.",en,2022-12-19 02:01:25+00:00,2022-12-14_france_morocco
"Mbape is the MAN!!!!!
2 Goals in less than 3 minutes! 
#WorldCup #ArgentinaVsFrance #FIFAWorldCupFinal https://t.co/P4YGt4GqoS",en,2022-12-18 16:47:44+00:00,2022-12-14_france_morocco
"⚽️ World Cup:

✅ France -1
❌ FRA-MOR o2,5 goals
❌ FRA o2,5 goals
❌ Hakimi booked
❌ Amrabat booked
❌ Griezmann to assist

+𝟬.𝟭𝟵𝘂 💰

One hit, five misses, and still with profit. It is so important to respect the stake. Always.

#Qatar2022 #FIFAWorldCup",en,2022-12-14 22:02:10+00:00,2022-12-14_france_morocco
"Morocco has come this far,  Morocco should win the world cup now. 
Ronaldo's last shoot at the goal was amazing, only if the goalkeeper would have missed it.
It wasn't a victory by luck for Morocco. They earned it. But love and appreciation for Ronaldo. ❤️
#FIFAWorldCup",en,2022-12-10 17:04:56+00:00,2022-12-14_france_morocco
"France star striker Kylian Mbappé is the winner of the 2022 FIFA World Cup Golden Boot award after scoring three goals in Sunday's final against Argentina, bringing his total to eight in the tournament.

#FIFAWorldCup2022
#GoldenBoot
#KylianMbappe #Messi https://t.co/n7njavhETo",en,2022-12-18 18:52:06+00:00,2022-12-14_france_morocco
Tseding Di goal ditlotla Argentina ena le matla France aka se defend World Cup never my sister 🤞⚽❤️ https://t.co/0fTywKmz4K,en,2022-12-18 15:56:44+00:00,2022-12-14_france_morocco
"Kane could have broke the England goal scoring record against France in a world cup quarter final but I guess doing it against the likes of Malta will do. Don't know why people might be fearful of Ukraine, they have used all of their sympathy credit up and have a broken wing",en,2022-12-17 23:51:23+00:00,2022-12-14_france_morocco
@FIFAWorldCup #Argentina was so dominant that 10 minutes into the 2nd half I was ready to turn it off but luckily fast forwarded the video to #France's first goal. I started watching it again &amp; was sure happy about that. Soccer was actually exciting but they're Babies &amp; Actors! https://t.co/jU7gGKnlIb,en,2022-12-19 23:23:09+00:00,2022-12-14_france_morocco
"What a glorious goal from Di Maria wow! That was some beauty 

#WorldCup #WorldCupFinal #FIFAWorldCup #ArgentinaVsFrance",en,2022-12-18 15:36:46+00:00,2022-12-14_france_morocco
@adegbeju01 @MichaelWRLD__ @ploppystinky @ESPNFC @FIFAWorldCup France's last 3rd goal wasnt supposed to be awarded coz Upemacano had a handball before the Argentine,en,2022-12-20 11:49:02+00:00,2022-12-14_france_morocco
"KINGSLEY COMAN, Randal Kolo-Muani and Aurelien Tchouameni were all subjected to vile racial abuse following France's World Cup final defeat to Argentina.

#rasist #france #football #goal #messi #qatar #lost #blacks https://t.co/u24E6VACEH",en,2022-12-19 18:51:56+00:00,2022-12-14_france_morocco
"France 🇫🇷 2-0 Morocco 🇲🇦 in full time. Valiant effort by the Atlas Lions. Beyond brave.

G: Theo Hernández (5'), Randal Kolo Muani (79'); Shots (on Goal): FRA 14 (3), MAR 13 (3); Poss: MAR 61 percent.

#FRAvMAR #WorldCup 🏆 ⚽",en,2022-12-14 21:13:11+00:00,2022-12-14_france_morocco
World Cup final referee savages France over Lionel Messi 'illegal goal' accusation https://t.co/U5Av6o9Jln,en,2022-12-23 14:33:51+00:00,2022-12-14_france_morocco
"@FIFAWorldCup First Team= Morocco 🇲🇦❤️
First Goal Scorer= Amrabat",en,2022-12-14 12:19:26+00:00,2022-12-14_france_morocco
"Kylian #mbappe is 23 . Kylian Mbappe is unreal 

  - 12 World Cup goals in 14 games 
- 6th-highest men’s World Cup scorer 
#Mbappe

#FIFAworldcupFinal #ArgentinaVsFrance #Messi 
#mbappe #Mbappe 
#qatar #Qatar2022 #FIFAWorldCup 
#WorldCupQatar2022  #ARGVFRA #ArgentinavsFrance https://t.co/tOxgW9Rlph",en,2022-12-19 16:59:40+00:00,2022-12-14_france_morocco
Morocco's Youssef En-Nesyri scores goal vs. Portugal in 42' | 2022 FIFA World Cup https://t.co/QvCEp0dWhA #breakingnews,en,2022-12-10 18:21:45+00:00,2022-12-14_france_morocco
That Di Maria goal is pretty special. #ArgentinaVsFrance #WorldCup,en,2022-12-18 15:36:48+00:00,2022-12-14_france_morocco
"Even Mourinho has fallen in love with Morocco. ❤️

Morocco have conceded only one goal in five games at the World Cup.

The Atlas Lions have set their eyes on the finals by beating France in the semis.
https://t.co/DQ3Xrh4c2z",en,2022-12-13 18:41:00+00:00,2022-12-14_france_morocco
"Lionel Messi and Kylian Mbappe head to the World Cup Final with five goals each.⚽️

Messi has three assists. Mbappe has two having not been credited with a third against Morocco.🤝

Messi, Mbappe, Olivier Giroud (4) and Julian Alvarez (4) have 18 goals between them in Qatar.🎯 https://t.co/yOoiA6tXEK",en,2022-12-14 23:44:02+00:00,2022-12-14_france_morocco
"@goal @TeamMessi @lukamodric10 @AchrafHakimi Prediction: Croatia will beat Argentina and Morocco will knock out France to face Croatia in the finals and then😁..... Morocco will win the World cup 🙂

Mark my word💪💪🏾",en,2022-12-13 12:09:59+00:00,2022-12-14_france_morocco
"@Naj_Daniyel If Morocco defeat Portugal and qualify for the Semi Finals of the FIFA World Cup, Africa will get 11 slots in the 2026 World Cup.

9 permanent slots, 1 via playoff and 1 because they reached the Semi Finals.

Morocco are unbeaten in this World Cup, and have only conceded 1 goal.",en,2022-12-10 18:12:41+00:00,2022-12-14_france_morocco
Italian Media Praise Inter Striker Lautaro Martinez For Helping To Set Up Lionel Messi's Goal For 3-2 In World Cup Final Win Over France #InterMilan #FCIM https://t.co/doQ6FUpaNR,en,2022-12-19 14:12:40+00:00,2022-12-14_france_morocco
"🚨Jijenge Na World Cup🚨
Morocco🆚Spain

The penultimate #WorldCup2022 last-16 battle takes place at the Education City Stadium today, as Morocco pit its wits against Spain.

FIRST GOAL SCORER: Ziyech, Hakim @ 13 Odds✨
Booking Code: QA9HR

Jijenge Nasi 👉 https://t.co/uiGslMNaS4 https://t.co/3qQl7NBuP4",en,2022-12-06 13:25:24+00:00,2022-12-14_france_morocco
"@KimDotcom Qatar World Cup is corrupted … The king of marketing, Messi should win.
France is not playing like before.
The first goal was because of an unfair penalty.",en,2022-12-18 16:04:14+00:00,2022-12-14_france_morocco
