tweet_text,tweet_lang,tweet_created_at,match_id
@433 Sure thing. KM is the future to watch out for. Who was the highest goal scorer at the world cup? Kyrian Mbappe. Looking forward to more of it.,en,2022-12-19 08:38:49+00:00,2022-12-18_france_argentina
"@Alvaro161718 @Emmykeys12 @carIosrma @sportbible messi was made in barcelona. What he has achieved today was because of barcelona. You lot celebrate ronaldo's pen goals once in 2 months cuz youre  a vardrid fan. Stop being ignorant and cry some more cuz messi won the world cup, something benchnaldo and penaldo would never",en,2022-12-23 07:40:02+00:00,2022-12-18_france_argentina
@ESPNFC @polito_kevin mbappe owned him in the world cup 😭 bro scored 3 goals on him and a penalty kick,en,2022-12-20 23:06:19+00:00,2022-12-18_france_argentina
Mbappe wins the #GoldenBoot with 8 goals. No smiles but hopefully he will come back with smiles. He's still 23 and scored a hat trick in the World Cup final. #FIFAWorldCup #Qatar2022 #FRA #Mbappe𓃵 #Fiersdetrebleus,en,2022-12-18 18:33:11+00:00,2022-12-18_france_argentina
"Watch ""Goals of the Match - Argentina 3:0 Croatia- FIFA World Cup Qatar 2022 | https://t.co/n6GDTyWbpJ",en,2022-12-14 02:08:01+00:00,2022-12-18_france_argentina
"- KYLIAN MBAPPÉ WITH TWO GOALS IN 90 SECONDS

THIS IS THE WORLD CUP FINAL 🔥
#Mbappe𓃵 | #FIFAWorldCup https://t.co/upQrDUrNfe",en,2022-12-18 16:58:20+00:00,2022-12-18_france_argentina
If them man yah spot Messi dem two goal and walk dem down and win they should be awarded the World Cup as the match blow off lol,en,2022-12-13 20:01:35+00:00,2022-12-18_france_argentina
"@RealSaisih @FrankKhalidUK At 19 Mbappe was one of the highest goal scores in 2018 world cup, he win the world cup, best player of the tournament, best young player of the tournament, Martinez was not in that world cup,2022 he is the highest goal scorer, he score in 2 final of world cup",en,2022-12-19 07:50:55+00:00,2022-12-18_france_argentina
@Ucchinoo @Ziltex651 @_common_W_ @FIFAWorldCup That’s makes it even more embarrassing they lost to Argentina then. What an own goal😭💀,en,2022-12-22 16:46:34+00:00,2022-12-18_france_argentina
Messi scored an extra time goal in the final of the best World Cup in history. He is the best athlete to ever grace planet earth.,en,2022-12-18 18:52:09+00:00,2022-12-18_france_argentina
"@qxirxe @OscarAnilloE @dejHIGH @kay_mahapa Go beyond Messi capacity as seen here. Where is Ronaldo world Cup k/o goal? Sorry that's too hard, has Ronaldo ever play a world Cup final? Does he has more w/c goals than Mbape? https://t.co/uqraGD8j0u",en,2022-12-14 22:59:41+00:00,2022-12-18_france_argentina
#Mbappe future so bright. 12 goals in the world cup and the highest is 16...,en,2022-12-18 18:23:22+00:00,2022-12-18_france_argentina
"PSG players have 16 goals in this World Cup.. doesn’t suck to have a strike force or Neymar, Messi, and Mbappe https://t.co/u3xawbwOxC",en,2022-12-18 17:26:00+00:00,2022-12-18_france_argentina
@vigilantshitcar @Lone_Ranger3572 @dicklevitating Messi's two goals in the world cup final are bigger than Taylor swift and all those assists in your bio combined and I wish I was trolling,en,2022-12-22 18:57:37+00:00,2022-12-18_france_argentina
@7soann @FIFAWorldCup He was on 2 goals against RB Leipzig and gave the chance of a hat trick away by letting Mbappe have the penalty. Doesn’t bother him,en,2022-12-20 22:54:38+00:00,2022-12-18_france_argentina
"Wait, you’re telling me Goncalo Ramos scored MORE knockout goals than Lionel Messi at the World Cup ?!?!?",en,2022-12-06 20:12:21+00:00,2022-12-18_france_argentina
@FIFAWorldCup France may win by one goal,en,2022-12-17 11:32:57+00:00,2022-12-18_france_argentina
"@samarth_sd @utdcynical @bigshoturtle @TheJoseEra Messi at 35 is the top goal contribution provider in the world cup and across the entire season, Netherlands and Croatia are top 10 sides, and as we all know Ronaldo is a box poacher who cant do anything more than score goals while Messi is a complete attacker and midfielder",en,2022-12-15 21:50:29+00:00,2022-12-18_france_argentina
"This World Cup for Argentina has legit been Messi hitting pens to the goal keepers right to the right hand side of the pitch as the TV shows it, wheeling off doing the same celebration &amp; the whole world losing its mind over the entire process",en,2022-12-13 19:36:06+00:00,2022-12-18_france_argentina
"When at it, ask yourself this. Will messi be playing For Argentina and in Europe at 37yrs of age? Did Ronaldo ever score 6 league goals at 34yrs of age? Will Argentina win a world cup with messi playing? Where are young golden boys that are carrying barca and spain? https://t.co/dsTcWXAtu4",en,2022-12-08 09:19:17+00:00,2022-12-18_france_argentina
. @FIFAcom @FIFAWorldCup should check the Messi goal during extra time as @Argentina substitutes were on the field of play before the goal was scored and @FrenchTeam should put an official protest in as the rules state!! @FIFAcom get a grip you have VAR at your disposal use it,en,2022-12-18 18:13:51+00:00,2022-12-18_france_argentina
"What a goal by #Messi 😍

#ArgentinaVsFrance #WorldCup https://t.co/bWG31E0ccK",en,2022-12-18 17:55:19+00:00,2022-12-18_france_argentina
