collected_at,match_id,competition,home_team,away_team,query,query_language,tweet_id,tweet_created_at,tweet_lang,tweet_text,conversation_id,possibly_sensitive,source,retweet_count,reply_count,like_count,quote_count,author_id,author_username,author_name,author_verified,author_followers_count,author_following_count,author_tweet_count,author_listed_count
2025-11-08T01:50:31.624483+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,(Manchester City OR ManCity OR MCFC OR #ManCity) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL) lang:de,de,1986206873620783543,2025-11-05T22:59:55.000Z,de,"RT @City_Xtra: GOAL! #ManCity 1-0 Borussia Dortmund, Phil Foden! [22’] #UCL",1986206873620783543,False,,74,0,0,0,1930317939129065472,phodenomenal,dcyqt,False,314,517,29549,0
2025-11-08T01:50:31.624483+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,(Manchester City OR ManCity OR MCFC OR #ManCity) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL) lang:de,de,1986206741403750901,2025-11-05T22:59:23.000Z,de,"RT @City_Xtra: GOAL! #ManCity 3-0 Borussia Dortmund, Phil Foden! [56’] #UCL",1986206741403750901,False,,40,0,0,0,1930317939129065472,phodenomenal,dcyqt,False,314,517,29549,0
2025-11-08T01:50:31.624483+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,(Manchester City OR ManCity OR MCFC OR #ManCity) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL) lang:de,de,1986206655063716012,2025-11-05T22:59:03.000Z,de,RT @RNBVB: 🏆 Der #BVB ist beim 1:4 gegen #ManchesterCity nur in den ersten 15 Minuten auf Augenhöhe - und bleibt gegen Top-Teams ohne Sieg.…,1986206655063716012,False,,2,0,0,0,1379445605240569857,GebhardtCedric,Cedric Gebhardt,False,510,184,2116,10
2025-11-08T01:50:31.624483+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,(Manchester City OR ManCity OR MCFC OR #ManCity) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL) lang:de,de,1986206509861072981,2025-11-05T22:58:28.000Z,de,"🏆 Der #BVB ist beim 1:4 gegen #ManchesterCity nur in den ersten 15 Minuten auf Augenhöhe - und bleibt gegen Top-Teams ohne Sieg. 

🧮 Die #MCIBVB-Analyse von @GebhardtCedric (RN+): https://t.co/qFylG1Hro5",1986206509861072981,False,,2,2,14,0,2381887483,RNBVB,Ruhr Nachrichten BVB,False,90945,51,59527,604
2025-11-08T01:50:31.624483+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,(Manchester City OR ManCity OR MCFC OR #ManCity) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL) lang:de,de,1986206357775601833,2025-11-05T22:57:52.000Z,de,"Hab dieses 4-1 zwischen bvb und mancity so gespürt heute morgen, das ist unglaublich.",1986206357775601833,False,,0,0,6,0,1354066531408338944,elenax02,Elena,False,752,2516,1262,0
2025-11-08T01:50:31.624483+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,(Manchester City OR ManCity OR MCFC OR #ManCity) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL) lang:de,de,1986206242847518813,2025-11-05T22:57:24.000Z,de,"RT @premierleague: ⚽️⚽️ Phil Foden x2 
⚽️ Erling Haaland x1
⚽️ Rayan Cherki x1 

@ManCity beat Dortmund 4-1 in the #UCL! https://t.co/quDXo…",1986206242847518813,False,,820,0,0,0,1418853961021415428,walexxy001,walexxy,False,621,766,47969,1
2025-11-08T01:50:31.624483+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,(Manchester City OR ManCity OR MCFC OR #ManCity) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL) lang:de,de,1986206004011282509,2025-11-05T22:56:27.000Z,de,"RT @premierleague: ⚽️⚽️ Phil Foden x2 
⚽️ Erling Haaland x1
⚽️ Rayan Cherki x1 

@ManCity beat Dortmund 4-1 in the #UCL! https://t.co/quDXo…",1986206004011282509,False,,820,0,0,0,1948868688586690560,kamila80834,Bobbie Rae,False,35,340,2788,0
2025-11-08T01:50:31.624483+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,(Manchester City OR ManCity OR MCFC OR #ManCity) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL) lang:de,de,1986205952584884563,2025-11-05T22:56:15.000Z,de,"RT @premierleague: ⚽️⚽️ Phil Foden x2 
⚽️ Erling Haaland x1
⚽️ Rayan Cherki x1 

@ManCity beat Dortmund 4-1 in the #UCL! https://t.co/quDXo…",1986205952584884563,False,,820,0,0,0,1556428209406754817,Aleeyu676353272,Alee_X,False,33,426,3831,0
2025-11-08T01:50:31.624483+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,(Manchester City OR ManCity OR MCFC OR #ManCity) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL) lang:de,de,1986205925917499896,2025-11-05T22:56:09.000Z,de,"RT @premierleague: ⚽️⚽️ Phil Foden x2 
⚽️ Erling Haaland x1
⚽️ Rayan Cherki x1 

@ManCity beat Dortmund 4-1 in the #UCL! https://t.co/quDXo…",1986205925917499896,False,,820,0,0,0,1814605435971760129,lowkeypaaa,lowkey,False,199,265,64742,0
2025-11-08T01:50:31.624483+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,(Manchester City OR ManCity OR MCFC OR #ManCity) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL) lang:de,de,1986205863577584076,2025-11-05T22:55:54.000Z,de,"RT @premierleague: ⚽️⚽️ Phil Foden x2 
⚽️ Erling Haaland x1
⚽️ Rayan Cherki x1 

@ManCity beat Dortmund 4-1 in the #UCL! https://t.co/quDXo…",1986205863577584076,False,,820,0,0,0,1372468297355120640,SungjinwooQ8,KDB17,False,499,3237,38224,3
