collected_at,match_id,competition,home_team,away_team,query,query_language,tweet_id,tweet_created_at,tweet_lang,tweet_text,conversation_id,possibly_sensitive,source,retweet_count,reply_count,like_count,quote_count,author_id,author_username,author_name,author_verified,author_followers_count,author_following_count,author_tweet_count,author_listed_count
2025-10-26T11:19:33.633382+00:00,2025-10-21_arsenal_atletico,UEFA Champions League,Arsenal FC,Atlético Madrid,(#ARSMAD OR #AFCATL OR #UCL OR #LDC OR Arsenal OR Atletico) lang:es,es,1980771074636677490,2025-10-21T22:59:59.000Z,es,"RT @ElGolGarracol: ❌ ¿Sabías que el Guangzhou FC 🇨🇳 NO EXISTE MÁS? Sí, el que supo pagarle 42 millones de euros al Atlético Madrid por Jack…",1980771074636677490,False,,217,0,0,0,414873454,luis_carriel,Luis Carriel Jaime,False,766,1429,91927,5
2025-10-26T11:19:33.633382+00:00,2025-10-21_arsenal_atletico,UEFA Champions League,Arsenal FC,Atlético Madrid,(#ARSMAD OR #AFCATL OR #UCL OR #LDC OR Arsenal OR Atletico) lang:es,es,1980771073730949510,2025-10-21T22:59:59.000Z,es,RT @xGPhilosophy: Arsenal (2.53) 4-0 (0.77) Atletico Madrid,1980771073730949510,False,,829,0,0,0,716577345147052032,librarsly,wike,False,1081,338,98508,16
2025-10-26T11:19:33.633382+00:00,2025-10-21_arsenal_atletico,UEFA Champions League,Arsenal FC,Atlético Madrid,(#ARSMAD OR #AFCATL OR #UCL OR #LDC OR Arsenal OR Atletico) lang:es,es,1980771061848527022,2025-10-21T22:59:56.000Z,es,RT @JokerLaporta: Casadó aplicando los #Valors de La Masía fingiendo una agresión en la cara de Hezze por rozarle con el dedo y 2° 🟨. Las a…,1980771061848527022,False,,273,0,0,0,295701124,MakotoShishio,Batusai Shishio,False,838,771,211476,14
2025-10-26T11:19:33.633382+00:00,2025-10-21_arsenal_atletico,UEFA Champions League,Arsenal FC,Atlético Madrid,(#ARSMAD OR #AFCATL OR #UCL OR #LDC OR Arsenal OR Atletico) lang:es,es,1980771060644560923,2025-10-21T22:59:56.000Z,es,RT @SenadoAtletico: ¿Qué no se creen ustedes que Valdano (qué puñetas hará este tipo comentando nuestros partidos) avisaba de que vería el…,1980771060644560923,False,,18,0,0,0,1485940083945615361,Carlosmaximogp,Carlos Máximo González-Palacios Salvador,False,654,2605,35379,0
2025-10-26T11:19:33.633382+00:00,2025-10-21_arsenal_atletico,UEFA Champions League,Arsenal FC,Atlético Madrid,(#ARSMAD OR #AFCATL OR #UCL OR #LDC OR Arsenal OR Atletico) lang:es,es,1980771050544918547,2025-10-21T22:59:54.000Z,es,"RT @frabigol: Nunca voy a entender lo de Simeone en el Atlético Madrid, diez años consecutivos siendo el técnico MEJOR PAGO DEL MUNDO, sin…",1980771050544918547,False,,269,0,0,0,1495537732969451521,circhotorp,ham solo,False,13,80,1670,0
2025-10-26T11:19:33.633382+00:00,2025-10-21_arsenal_atletico,UEFA Champions League,Arsenal FC,Atlético Madrid,(#ARSMAD OR #AFCATL OR #UCL OR #LDC OR Arsenal OR Atletico) lang:es,es,1980771044203065469,2025-10-21T22:59:52.000Z,es,"Hoy juega el #RealMadrid ante la #Juventus , en el Santiago Bernabéu,  por la fecha 3 de la fase liga de la #ChampionsLeague , acá un recuerdo del golazo de Cristiano Ronaldo de Chilena , #HalaMadrid y nada más #UCL #RealMadridJuventus #CR7𓃵 . https://t.co/1mAo0HpmIE",1980771044203065469,False,,0,0,0,0,1664973968472776705,LeitoFc31,Leito 🇵🇸,False,194,1070,15270,1
2025-10-26T11:19:33.633382+00:00,2025-10-21_arsenal_atletico,UEFA Champions League,Arsenal FC,Atlético Madrid,(#ARSMAD OR #AFCATL OR #UCL OR #LDC OR Arsenal OR Atletico) lang:es,es,1980771039849378118,2025-10-21T22:59:51.000Z,es,"RT @ChampionsLeague: Fermín ⚽⚽⚽🏆

#UCL https://t.co/FgMsfizL5X",1980771039849378118,False,,4416,0,0,0,1805391263686180864,NotJoan3d,🤖,False,186,465,17084,1
2025-10-26T11:19:33.633382+00:00,2025-10-21_arsenal_atletico,UEFA Champions League,Arsenal FC,Atlético Madrid,(#ARSMAD OR #AFCATL OR #UCL OR #LDC OR Arsenal OR Atletico) lang:es,es,1980771023881441337,2025-10-21T22:59:47.000Z,es,RT @_JakeDunn: @DanikRM_ Me alegro de la victoria del Arsenal,1980771023881441337,False,,1,0,0,0,1613875992,PeschisJorge,Jorge Pereira,False,1110,2290,284201,4
2025-10-26T11:19:33.633382+00:00,2025-10-21_arsenal_atletico,UEFA Champions League,Arsenal FC,Atlético Madrid,(#ARSMAD OR #AFCATL OR #UCL OR #LDC OR Arsenal OR Atletico) lang:es,es,1980771023642558642,2025-10-21T22:59:47.000Z,es,"RT @ReporterosMX_: ⭕ OJO | DETIENEN EN CHIAPAS A SEIS PRESUNTOS INTEGRANTES DEL CÁRTEL DE SINALOA CON ARSENAL Y EQUIPO TÁCTICO

Autoridades…",1980771023642558642,False,,361,0,0,0,1943533194898477056,RigobertoR77346,Rigoberto Martinez reyes,False,71,160,2453,0
2025-10-26T11:19:33.633382+00:00,2025-10-21_arsenal_atletico,UEFA Champions League,Arsenal FC,Atlético Madrid,(#ARSMAD OR #AFCATL OR #UCL OR #LDC OR Arsenal OR Atletico) lang:es,es,1980771018361668061,2025-10-21T22:59:46.000Z,es,"RT @MillosFCoficial: 💙✨️ ¡Con la mano en el pecho! 🩷Ⓜ️ ¡VAMOS MILLONARIOS!

▶ Este es nuestro XI Inicial para enfrentar al Atlético Bucaram…",1980771018361668061,False,,45,0,0,0,3071571581,zjamb1,EL ROLO SOY YO,False,79,636,7724,1
2025-10-26T11:19:33.633382+00:00,2025-10-21_arsenal_atletico,UEFA Champions League,Arsenal FC,Atlético Madrid,(#ARSMAD OR #AFCATL OR #UCL OR #LDC OR Arsenal OR Atletico) lang:es,es,1980771013874053364,2025-10-21T22:59:45.000Z,es,"RT @marqoss: Sigo pensando lo mismo que pensaba hace unas semanas:

El Atlético de Madrid está dos pasos por detrás físicamente, técnicamen…",1980771013874053364,False,,25,0,0,0,1668274599996575744,Atleticoftw,Cholo Stan,False,138,177,2619,2
2025-10-26T11:19:33.633382+00:00,2025-10-21_arsenal_atletico,UEFA Champions League,Arsenal FC,Atlético Madrid,(#ARSMAD OR #AFCATL OR #UCL OR #LDC OR Arsenal OR Atletico) lang:es,es,1980771008513458249,2025-10-21T22:59:44.000Z,es,RT @MarioHurtadoRM: Julián Álvarez en el Atlético de Madrid: https://t.co/JNie9jyygG,1980771008513458249,False,,85,0,0,0,1524215397758681089,Rui_verz,Zix.Ker ❤️🤍,False,89,146,22087,2
2025-10-26T11:19:33.633382+00:00,2025-10-21_arsenal_atletico,UEFA Champions League,Arsenal FC,Atlético Madrid,(#ARSMAD OR #AFCATL OR #UCL OR #LDC OR Arsenal OR Atletico) lang:es,es,1980770977916285215,2025-10-21T22:59:36.000Z,es,"Mi Equipo 🔴⚪️

#ARS #UCL https://t.co/Wl4LG0650C",1980770977916285215,False,,1,0,3,0,1294302956406419456,TabloideGunner,Arsenal 🔴⚪ Tabloide Gunner,False,2482,1620,29774,9
2025-10-26T11:19:33.633382+00:00,2025-10-21_arsenal_atletico,UEFA Champions League,Arsenal FC,Atlético Madrid,(#ARSMAD OR #AFCATL OR #UCL OR #LDC OR Arsenal OR Atletico) lang:es,es,1980770975366180944,2025-10-21T22:59:36.000Z,es,"RT @elchiringuitotv: ⚔️ ""¿El CLÁSICO? El partido de hoy nos dará confianza. Estamos bien"". #UCL 

👉 ÁLEX BALDE, jugador del Barça, CONFIADO…",1980770975366180944,False,,15,0,0,0,64197816,panamonty,Luis Antonio Montaño,False,483,633,293887,12
2025-10-26T11:19:33.633382+00:00,2025-10-21_arsenal_atletico,UEFA Champions League,Arsenal FC,Atlético Madrid,(#ARSMAD OR #AFCATL OR #UCL OR #LDC OR Arsenal OR Atletico) lang:es,es,1980770967665483941,2025-10-21T22:59:34.000Z,es,"@angelperezpx En esta liga hay Madrid , Barça atletico de Madrid y alguno mas , el resto son filiales del madrid",1980722090182365663,False,,0,0,0,0,809760451,ToniLaia9,antonio jordana,False,370,640,23089,1
2025-10-26T11:19:33.633382+00:00,2025-10-21_arsenal_atletico,UEFA Champions League,Arsenal FC,Atlético Madrid,(#ARSMAD OR #AFCATL OR #UCL OR #LDC OR Arsenal OR Atletico) lang:es,es,1980770966050599253,2025-10-21T22:59:33.000Z,es,"RT @MovistarFutbol: 😂 Dro y el origen de su apodo: ""Mi hermano mayor, cuando tenía un año, no era capaz de decir Pedro""

#LaCasaDelFútbol #…",1980770966050599253,False,,155,0,0,0,405052057,pacomena2001,paco m.,False,1124,4888,170195,11
2025-10-26T11:19:33.633382+00:00,2025-10-21_arsenal_atletico,UEFA Champions League,Arsenal FC,Atlético Madrid,(#ARSMAD OR #AFCATL OR #UCL OR #LDC OR Arsenal OR Atletico) lang:es,es,1980770963978355079,2025-10-21T22:59:33.000Z,es,RT @DeportesAlTacok: 😳🤔🇦🇷 BRUNO AMICONI junto al VAR COBRARON ESTE PENAL para SAN LORENZO frente a ATLÉTICO TUCUMÁN por FALTA de MATÍAS MAN…,1980770963978355079,False,,4,0,0,0,905824242545160193,santidelosok,Santin,False,123,306,4175,0
2025-10-26T11:19:33.633382+00:00,2025-10-21_arsenal_atletico,UEFA Champions League,Arsenal FC,Atlético Madrid,(#ARSMAD OR #AFCATL OR #UCL OR #LDC OR Arsenal OR Atletico) lang:es,es,1980770963785654344,2025-10-21T22:59:33.000Z,es,RT @mbaafraude: Talento generacional. Muchísimo más completo que Rodri. Le va salir baratísimo al Arsenal. https://t.co/74ojkAZ6XB,1980770963785654344,False,,129,0,0,0,1397717504856821761,MarcosMarcosVi9,Marc62,False,148,2666,44814,0
2025-10-26T11:19:33.633382+00:00,2025-10-21_arsenal_atletico,UEFA Champions League,Arsenal FC,Atlético Madrid,(#ARSMAD OR #AFCATL OR #UCL OR #LDC OR Arsenal OR Atletico) lang:es,es,1980770963525382401,2025-10-21T22:59:33.000Z,es,"RT @josekun10: Y mañana se pondrá la camiseta del Atlético de Madrid para ir a clase. ❤️

¡No lo pueden entender!",1980770963525382401,False,,243,0,0,0,1214790907855278080,zhuyuzh,первая встречная #нетвойне,False,206,537,5073,4
2025-10-26T11:19:33.633382+00:00,2025-10-21_arsenal_atletico,UEFA Champions League,Arsenal FC,Atlético Madrid,(#ARSMAD OR #AFCATL OR #UCL OR #LDC OR Arsenal OR Atletico) lang:es,es,1980770925348810896,2025-10-21T22:59:24.000Z,es,RT @DanikRM_: Estás enfermo si te alegras de las derrotas del Atlético de Madrid. https://t.co/mYJLuJaHlk,1980770925348810896,False,,233,0,0,0,1363533106179952644,Alberto66087550,El Rey blanco,False,519,655,5783,0
