collected_at,match_id,competition,home_team,away_team,query,query_language,tweet_id,tweet_created_at,tweet_lang,tweet_text,conversation_id,possibly_sensitive,source,retweet_count,reply_count,like_count,quote_count,author_id,author_username,author_name,author_verified,author_followers_count,author_following_count,author_tweet_count,author_listed_count
2025-11-07T21:53:17.888676+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,"(Man City OR Manchester City OR MCFC OR ""Man City"" OR #ManCity OR #MCFC) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL OR #ChampionsLeague) lang:en",en,1986206885905674737,2025-11-05T22:59:58.000Z,en,RT @Football__Tweet: Erling Haaland is the Man City CAPTAIN tonight against his former club Dortmund. ©️ https://t.co/rRL7vBrGdB,1986206885905674737,False,,35,0,0,0,1421784616667582464,DarkaPhoenix_,DarkaPhoenix,False,823,789,124557,1
2025-11-07T21:53:17.888676+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,"(Man City OR Manchester City OR MCFC OR ""Man City"" OR #ManCity OR #MCFC) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL OR #ChampionsLeague) lang:en",en,1986206856998477956,2025-11-05T22:59:51.000Z,en,"RT @Kylian: Kylian Mbappé has 15 goals against Barcelona, Man City, Atlético, Dortmund, Atalanta in 14 games for Real Madrid. 

I think too…",1986206856998477956,False,,90,0,0,0,1227002743518351365,MayoiSlave,MayoiSlave💋,False,14,495,653,3
2025-11-07T21:53:17.888676+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,"(Man City OR Manchester City OR MCFC OR ""Man City"" OR #ManCity OR #MCFC) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL OR #ChampionsLeague) lang:en",en,1986206816515023051,2025-11-05T22:59:41.000Z,en,"RT @TheAthleticFC: 🇦🇹 Eight goals in five games for Red Bull Salzburg (September-November 2019)
🇩🇪 Ten goals in six games for Borussia Dort…",1986206816515023051,False,,25,0,0,0,1948867624101724161,P702788554424,lizz peterson,False,56,466,2776,0
2025-11-07T21:53:17.888676+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,"(Man City OR Manchester City OR MCFC OR ""Man City"" OR #ManCity OR #MCFC) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL OR #ChampionsLeague) lang:en",en,1986206781543227532,2025-11-05T22:59:33.000Z,en,RT @City_Xtra: Half-Time: #ManCity 2-0 Borussia Dortmund. Thoughts? #UCL https://t.co/M4wxJFA0q4,1986206781543227532,False,,30,0,0,0,1930317939129065472,phodenomenal,dcyqt,False,313,517,29548,0
2025-11-07T21:53:17.888676+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,"(Man City OR Manchester City OR MCFC OR ""Man City"" OR #ManCity OR #MCFC) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL OR #ChampionsLeague) lang:en",en,1986206774358392856,2025-11-05T22:59:31.000Z,en,"@Elite1_GR @Chels_HQ Based on recent transfer reports, Bayern Munich and Manchester United are seen as frontrunners for Said El Mala. Bayern has him on their shortlist and could move in winter or summer for around €35-50M. Man Utd rumors suggest a 68% chance. Dortmund, PSG, Chelsea, and Man City",1986027753313800376,False,,0,0,0,0,1720665183188922368,grok,Grok,True,6591832,3,64356663,5240
2025-11-07T21:53:17.888676+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,"(Man City OR Manchester City OR MCFC OR ""Man City"" OR #ManCity OR #MCFC) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL OR #ChampionsLeague) lang:en",en,1986206772395233664,2025-11-05T22:59:31.000Z,en,RT @TouchlineX: 🚨 𝗡𝗘𝗪 𝗥𝗘𝗖𝗢𝗥𝗗: Erling Haaland becomes the FIRST PLAYER IN HISTORY to score a goal in 5 consecutive Champions League games fo…,1986206772395233664,False,,403,0,0,0,1162342691532890112,relaxednerve,nonso._.,False,909,610,89797,2
2025-11-07T21:53:17.888676+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,"(Man City OR Manchester City OR MCFC OR ""Man City"" OR #ManCity OR #MCFC) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL OR #ChampionsLeague) lang:en",en,1986206764950523913,2025-11-05T22:59:29.000Z,en,"RT @DAZNFutbol: ⚽️ ¡GOLEADA DEL MANCHESTER CITY FRENTE AL BORUSSIA DORTMUND! 

❌ Derrota del Athletic Club frente al Newcastle https://t.co…",1986206764950523913,False,,6,0,0,0,1582725630457790467,GurselErkin,Erkin Gürsel,False,611,2026,205363,0
2025-11-07T21:53:17.888676+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,"(Man City OR Manchester City OR MCFC OR ""Man City"" OR #ManCity OR #MCFC) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL OR #ChampionsLeague) lang:en",en,1986206757249786075,2025-11-05T22:59:27.000Z,en,"RT @City_Xtra: [51'] Omar Marmoush, Bernardo Silva, Rayan Cherki, Ruben Dias, and Rico Lewis are all warming up for #ManCity. 2-0. #UCL",1986206757249786075,False,,27,0,0,0,1930317939129065472,phodenomenal,dcyqt,False,313,517,29548,0
2025-11-07T21:53:17.888676+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,"(Man City OR Manchester City OR MCFC OR ""Man City"" OR #ManCity OR #MCFC) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL OR #ChampionsLeague) lang:en",en,1986206729986507122,2025-11-05T22:59:21.000Z,en,RT @eurofootcom: 😂🤳 A Manchester City fan took a selfie with Phil Foden after he scored against Borussia Dortmund. 💙 https://t.co/yAgcbTjrEq,1986206729986507122,False,,454,0,0,0,741439772401491968,niinaitravis,Travis✌,False,1698,2091,348410,4
2025-11-07T21:53:17.888676+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,"(Man City OR Manchester City OR MCFC OR ""Man City"" OR #ManCity OR #MCFC) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL OR #ChampionsLeague) lang:en",en,1986206667697004709,2025-11-05T22:59:06.000Z,en,"RT @DxBruyneSZN: 🚨🚨🚨No Man City fan should have less than 2k followers or pass without interacting 

Let’s celebrate that win against Borus…",1986206667697004709,False,,105,0,0,0,1671093159751712770,AdvengerPro45,AdvengerPro45,False,205,649,77367,0
